,parameter,Delta E,Delta E per at,lgDeltaE_per_at
0,60,-1.0,-9.25925925925926,0.9665762445130504
1,70,-0.4229010963244946,-3.9157508918934685,0.5928150555220013
2,80,-0.1743300028174417,-1.6141666927540899,0.20794838169035462
3,90,-0.03700489696348086,-0.342637934847045,-0.46516455619039054
4,100,-0.019656415250210557,-0.182003844909357,-0.739919437260644
5,110,-0.027868810895597562,-0.2580445453296071,-0.5883053168237906
6,120,-0.02388982629054226,-0.2212020952827987,-0.6552107635994924
7,130,-0.01300772176909959,-0.1204418682324036,-0.919222516554072
8,140,-0.005410439451225102,-0.05009666158541761,-1.3001912143191643
9,150,-0.003639930764620658,-0.033703062635376466,-1.4723306325052472
